Order_date,Region,State,Product_SKU,Sales,Predicted_values
2015-01-07 00:00:00,West,California,CD-24,,188.3508857995807
2014-12-25 00:00:00,West,New York,BV-23,154,246.78912774647947
2014-12-26 00:00:00,West,New York,BV-23,188,248.28878281742132
2014-12-27 00:00:00,West,New York,BV-23,281,251.16628020138089
2014-12-28 00:00:00,West,New York,BV-23,223,177.626798690086
2014-12-29 00:00:00,West,New York,BV-23,173,168.5922057794908
2014-12-30 00:00:00,West,New York,BV-23,239,227.91730829802566
2014-12-31 00:00:00,West,New York,BV-23,229,246.94954232216716
2015-01-01 00:00:00,West,New York,BV-23,,246.78912774647947
2015-01-02 00:00:00,West,New York,BV-23,,248.28878281742132
2015-01-03 00:00:00,West,New York,BV-23,,251.16628020138089
2015-01-04 00:00:00,West,New York,BV-23,,177.626798690086
2015-01-05 00:00:00,West,New York,BV-23,,168.5922057794908
2015-01-06 00:00:00,West,New York,BV-23,,227.91730829802566
2015-01-07 00:00:00,West,New York,BV-23,,246.94954232216716
2014-12-24 00:00:00,West,New York,CD-24,210,239.57080456930302
2014-12-25 00:00:00,West,New York,CD-24,159,242.0928579306789
2014-12-26 00:00:00,West,New York,CD-24,197,248.4348446252458
2014-12-27 00:00:00,West,New York,CD-24,183,168.6542785822014
2014-12-28 00:00:00,West,New York,CD-24,167,172.4503552158059
2014-12-29 00:00:00,West,New York,CD-24,246,224.82616784018046
2014-12-30 00:00:00,West,New York,CD-24,266,240.07924970889155
2014-12-31 00:00:00,West,New York,CD-24,,239.57080456930302
2015-01-01 00:00:00,West,New York,CD-24,,242.0928579306789
2015-01-02 00:00:00,West,New York,CD-24,,248.4348446252458
2015-01-03 00:00:00,West,New York,CD-24,,168.6542785822014
2015-01-04 00:00:00,West,New York,CD-24,,172.4503552158059
2015-01-05 00:00:00,West,New York,CD-24,,224.82616784018046
2015-01-06 00:00:00,West,New York,CD-24,,240.07924970889155
2014-12-25 00:00:00,West,Texas,BV-23,232,261.48200947577686
2014-12-26 00:00:00,West,Texas,BV-23,168,278.56583019583405
2014-12-27 00:00:00,West,Texas,BV-23,216,270.14186660351487
2014-12-28 00:00:00,West,Texas,BV-23,207,195.234103196572
2014-12-29 00:00:00,West,Texas,BV-23,213,217.0774340010542
2014-12-30 00:00:00,West,Texas,BV-23,278,259.3414851007993
2014-12-31 00:00:00,West,Texas,BV-23,286,269.54829169743584
2015-01-01 00:00:00,West,Texas,BV-23,,261.48200947577686
2015-01-02 00:00:00,West,Texas,BV-23,,278.56583019583405
2015-01-03 00:00:00,West,Texas,BV-23,,270.14186660351487
2015-01-04 00:00:00,West,Texas,BV-23,,195.234103196572
2015-01-05 00:00:00,West,Texas,BV-23,,217.0774340010542
2015-01-06 00:00:00,West,Texas,BV-23,,259.3414851007993
2015-01-07 00:00:00,West,Texas,BV-23,,269.54829169743584
2014-12-25 00:00:00,West,Texas,CD-24,180,268.4273659303081
2014-12-26 00:00:00,West,Texas,CD-24,155,272.4340840115046
2014-12-27 00:00:00,West,Texas,CD-24,187,209.62127823716096
2014-12-28 00:00:00,West,Texas,CD-24,201,182.79052582657278
2014-12-29 00:00:00,West,Texas,CD-24,251,241.66784309053827
2014-12-30 00:00:00,West,Texas,CD-24,271,264.16814396811657
2014-12-31 00:00:00,West,Texas,CD-24,285,252.23579213073808
2015-01-01 00:00:00,West,Texas,CD-24,,268.4273659303081
2015-01-02 00:00:00,West,Texas,CD-24,,272.4340840115046
2015-01-03 00:00:00,West,Texas,CD-24,,209.62127823716096
2015-01-04 00:00:00,West,Texas,CD-24,,182.79052582657278
2015-01-05 00:00:00,West,Texas,CD-24,,241.66784309053827
2015-01-06 00:00:00,West,Texas,CD-24,,264.16814396811657
2015-01-07 00:00:00,West,Texas,CD-24,,252.23579213073808
2014-12-25 00:00:00,West,Washington,BV-23,142,201.095542092546
2014-12-26 00:00:00,West,Washington,BV-23,181,250.545956107302
2014-12-27 00:00:00,West,Washington,BV-23,223,274.9681807423098
2014-12-28 00:00:00,West,Washington,BV-23,268,276.41330113592045
2014-12-29 00:00:00,West,Washington,BV-23,241,267.94811069538406
2014-12-30 00:00:00,West,Washington,BV-23,234,269.8819040086052
2014-12-31 00:00:00,West,Washington,BV-23,173,216.31455157826355
2015-01-01 00:00:00,West,Washington,BV-23,,201.095542092546
2015-01-02 00:00:00,West,Washington,BV-23,,250.545956107302
2015-01-03 00:00:00,West,Washington,BV-23,,274.9681807423098
2015-01-04 00:00:00,West,Washington,BV-23,,276.41330113592045
2015-01-05 00:00:00,West,Washington,BV-23,,267.94811069538406
2015-01-06 00:00:00,West,Washington,BV-23,,269.8819040086052
2015-01-07 00:00:00,West,Washington,BV-23,,216.31455157826355
2014-12-25 00:00:00,West,Washington,CD-24,179,243.72072523214962
2014-12-26 00:00:00,West,Washington,CD-24,202,272.37784591551656
2014-12-27 00:00:00,West,Washington,CD-24,240,263.35134473346517
2014-12-28 00:00:00,West,Washington,CD-24,283,264.426306431444
2014-12-29 00:00:00,West,Washington,CD-24,260,258.9506839291954
2014-12-30 00:00:00,West,Washington,CD-24,199,206.6359806229589
2014-12-31 00:00:00,West,Washington,CD-24,211,195.23168370180147
2015-01-01 00:00:00,West,Washington,CD-24,,243.72072523214962
2015-01-02 00:00:00,West,Washington,CD-24,,272.37784591551656
2015-01-03 00:00:00,West,Washington,CD-24,,263.35134473346517
2015-01-04 00:00:00,West,Washington,CD-24,,264.426306431444
2015-01-05 00:00:00,West,Washington,CD-24,,258.9506839291954
2015-01-06 00:00:00,West,Washington,CD-24,,206.6359806229589
2015-01-07 00:00:00,West,Washington,CD-24,,195.23168370180147
